,File Size,Month,Date,Time,File Name,Recording Status,Energy in first 5 secs
299,488,Jul,3,15:04,20220703_220409.WAV,very small but no data,0.0
300,488,Jul,3,15:04,20220703_220410.WAV,very small but no data,0.0
301,488,Jul,3,15:04,20220703_220411.WAV,very small but no data,0.0
302,488,Jul,3,15:04,20220703_220412.WAV,very small but no data,0.0
303,488,Jul,3,15:04,20220703_220413.WAV,very small but no data,0.0
304,488,Jul,3,15:04,20220703_220414.WAV,very small but no data,0.0
305,488,Jul,3,15:04,20220703_220415.WAV,very small but no data,0.0
306,488,Jul,3,15:04,20220703_220416.WAV,very small but no data,0.0
307,488,Jul,3,15:04,20220703_220417.WAV,very small but no data,0.0
308,488,Jul,3,15:04,20220703_220418.WAV,very small but no data,0.0
309,488,Jul,3,15:04,20220703_220419.WAV,very small but no data,0.0
310,488,Jul,3,15:04,20220703_220420.WAV,very small but no data,0.0
311,488,Jul,3,15:04,20220703_220421.WAV,very small but no data,0.0
312,488,Jul,3,15:04,20220703_220422.WAV,very small but no data,0.0
313,488,Jul,3,15:04,20220703_220423.WAV,very small but no data,0.0
314,488,Jul,3,15:04,20220703_220424.WAV,very small but no data,0.0
315,488,Jul,3,15:04,20220703_220425.WAV,very small but no data,0.0
316,488,Jul,3,15:04,20220703_220426.WAV,very small but no data,0.0
317,488,Jul,3,15:04,20220703_220427.WAV,very small but no data,0.0
318,488,Jul,3,15:04,20220703_220428.WAV,very small but no data,0.0
319,488,Jul,3,15:04,20220703_220429.WAV,very small but no data,0.0
320,488,Jul,3,15:04,20220703_220430.WAV,very small but no data,0.0
321,488,Jul,3,15:04,20220703_220431.WAV,very small but no data,0.0
322,488,Jul,3,15:04,20220703_220432.WAV,very small but no data,0.0
323,488,Jul,3,15:04,20220703_220433.WAV,very small but no data,0.0
324,488,Jul,3,15:04,20220703_220434.WAV,very small but no data,0.0
325,488,Jul,3,15:04,20220703_220435.WAV,very small but no data,0.0
326,488,Jul,3,15:04,20220703_220436.WAV,very small but no data,0.0
327,488,Jul,3,15:04,20220703_220437.WAV,very small but no data,0.0
328,488,Jul,3,15:04,20220703_220438.WAV,very small but no data,0.0
329,488,Jul,3,15:04,20220703_220439.WAV,very small but no data,0.0
330,488,Jul,3,15:04,20220703_220440.WAV,very small but no data,0.0
331,488,Jul,3,15:04,20220703_220441.WAV,very small but no data,0.0
332,488,Jul,3,15:04,20220703_220442.WAV,very small but no data,0.0
333,488,Jul,3,15:04,20220703_220443.WAV,very small but no data,0.0
334,488,Jul,3,15:04,20220703_220444.WAV,very small but no data,0.0
335,488,Jul,3,15:04,20220703_220445.WAV,very small but no data,0.0
336,488,Jul,3,15:04,20220703_220446.WAV,very small but no data,0.0
337,488,Jul,3,15:04,20220703_220447.WAV,very small but no data,0.0
338,488,Jul,3,15:04,20220703_220448.WAV,very small but no data,0.0
339,488,Jul,3,15:04,20220703_220449.WAV,very small but no data,0.0
340,488,Jul,3,15:04,20220703_220450.WAV,very small but no data,0.0
341,488,Jul,3,15:04,20220703_220451.WAV,very small but no data,0.0
342,488,Jul,3,15:04,20220703_220452.WAV,very small but no data,0.0
343,488,Jul,3,15:04,20220703_220453.WAV,very small but no data,0.0
344,488,Jul,3,15:04,20220703_220454.WAV,very small but no data,0.0
345,488,Jul,3,15:04,20220703_220455.WAV,very small but no data,0.0
346,488,Jul,3,15:04,20220703_220456.WAV,very small but no data,0.0
347,488,Jul,3,15:04,20220703_220457.WAV,very small but no data,0.0
348,488,Jul,3,15:04,20220703_220458.WAV,very small but no data,0.0
349,488,Jul,3,15:04,20220703_220459.WAV,very small but no data,0.0
350,488,Jul,3,15:04,20220703_220500.WAV,very small but no data,0.0
351,488,Jul,3,15:05,20220703_220501.WAV,very small but no data,0.0
352,488,Jul,3,15:05,20220703_220502.WAV,very small but no data,0.0
353,488,Jul,3,15:05,20220703_220503.WAV,very small but no data,0.0
354,488,Jul,3,15:05,20220703_220504.WAV,very small but no data,0.0
355,488,Jul,3,15:05,20220703_220505.WAV,very small but no data,0.0
356,488,Jul,3,15:05,20220703_220506.WAV,very small but no data,0.0
357,488,Jul,3,15:05,20220703_220507.WAV,very small but no data,0.0
358,488,Jul,3,15:05,20220703_220508.WAV,very small but no data,0.0
359,488,Jul,3,15:05,20220703_220509.WAV,very small but no data,0.0
360,488,Jul,3,15:05,20220703_220510.WAV,very small but no data,0.0
361,488,Jul,3,15:05,20220703_220511.WAV,very small but no data,0.0
362,488,Jul,3,15:05,20220703_220512.WAV,very small but no data,0.0
363,488,Jul,3,15:05,20220703_220513.WAV,very small but no data,0.0
364,488,Jul,3,15:05,20220703_220514.WAV,very small but no data,0.0
365,488,Jul,3,15:05,20220703_220515.WAV,very small but no data,0.0
366,488,Jul,3,15:05,20220703_220516.WAV,very small but no data,0.0
